Country,POP,Incomegroup,Gini
China,1005.328574,Upper middle income,12.1
Pakistan,58.094239,Lower middle income,14.6
China,991.553829,Upper middle income,15
China,1005.328574,Upper middle income,15
China,1019.698475,Upper middle income,15
Romania,23.472562,Upper middle income,15.5
Romania,23.472562,Upper middle income,15.6
China,1019.698475,Upper middle income,15.8
China,1052.62241,Upper middle income,15.8
China,1071.834975,Upper middle income,15.8
China,1092.646739,Upper middle income,15.8
Bulgaria,8.369603,Upper middle income,15.9
Bulgaria,8.434172,Upper middle income,15.9
Bulgaria,8.310226,Upper middle income,16
China,950.537317,Upper middle income,16
China,977.837433,Upper middle income,16
China,1035.328572,Upper middle income,16
China,991.553829,Upper middle income,16.1
Azerbaijan,8.466304,Upper middle income,16.23
Pakistan,56.559367,Lower middle income,16.3
Bangladesh,60.637557,Lower middle income,16.4
Luxembourg,0.368662,High income: OECD,16.6
Pakistan,55.067366,Lower middle income,16.6
China,1052.62241,Upper middle income,16.6
Azerbaijan,8.563398,Upper middle income,16.64
China,991.553829,Upper middle income,16.7
China,1035.328572,Upper middle income,16.8
China,1114.162025,Upper middle income,16.9
China,1172.327831,Upper middle income,17
Bangladesh,60.637557,Lower middle income,17.3
Azerbaijan,8.280599,Upper middle income,17.36
Bulgaria,8.727332,Upper middle income,17.5
China,1172.327831,Upper middle income,17.5
China,1035.328572,Upper middle income,17.79
Bulgaria,8.727332,Upper middle income,17.8
Bulgaria,8.761231,Upper middle income,17.8
China,1135.128009,Upper middle income,17.8
Bulgaria,8.688112,Upper middle income,17.9
Yugoslavia,,,17.9
Australia,14.368543,High income: OECD,18
Poland,38.094812,High income: OECD,18
Slovakia,5.223222,High income: OECD,18
Slovakia,5.277709,High income: OECD,18
Slovakia,5.29808,High income: OECD,18
Slovakia,5.31748,High income: OECD,18
China,1154.605773,Upper middle income,18
Australia,13.892674,High income: OECD,18.1
Czech Republic,10.33393,High income: OECD,18.1
Bulgaria,8.644419,Upper middle income,18.2
Slovakia,5.244662,High income: OECD,18.3
Slovakia,5.335292,High income: OECD,18.3
Bulgaria,8.761231,Upper middle income,18.4
China,991.553829,Upper middle income,18.46
